id,slug,make
1,acura,Acura
2,alfa-romeo,Alfa Romeo
3,aptera,Aptera
4,aston-martin,Aston Martin
5,audi,Audi
6,austin,Austin
7,bentley,Bentley
8,bmw,BMW
9,bugatti,Bugatti
10,buick,Buick
11,cadillac,Cadillac
12,chevrolet,Chevrolet
13,chrysler,Chrysler
14,citroen,Citroën
15,corbin,Corbin
16,daewoo,Daewoo
17,daihatsu,Daihatsu
18,dodge,Dodge
19,eagle,Eagle
20,fairthorpe,Fairthorpe
21,ferrari,Ferrari
22,fiat,FIAT
23,fillmore,Fillmore
24,foose,Foose
25,ford,Ford
26,geo,Geo
27,gmc,GMC
28,hillman,Hillman
29,holden,Holden
30,honda,Honda
31,hummer,HUMMER
32,hyundai,Hyundai
33,infiniti,Infiniti
34,isuzu,Isuzu
35,jaguar,Jaguar
36,jeep,Jeep
37,jensen,Jensen
38,kia,Kia
39,lamborghini,Lamborghini
40,land-rover,Land Rover
41,lexus,Lexus
42,lincoln,Lincoln
43,lotus,Lotus
44,maserati,Maserati
45,maybach,Maybach
46,mazda,Mazda
47,mclaren,McLaren
48,mercedes-benz,Mercedes-Benz
49,mercury,Mercury
50,merkur,Merkur
51,mg,MG
52,mini,MINI
53,mitsubishi,Mitsubishi
54,morgan,Morgan
55,nissan,Nissan
56,oldsmobile,Oldsmobile
57,panoz,Panoz
58,peugeot,Peugeot
59,plymouth,Plymouth
60,pontiac,Pontiac
61,porsche,Porsche
62,ram,Ram
63,rambler,Rambler
64,renault,Renault
65,rolls-royce,Rolls-Royce
66,saab,Saab
67,saturn,Saturn
68,scion,Scion
69,shelby,Shelby
70,smart,Smart
71,spyker,Spyker
72,spyker-cars,Spyker Cars
73,studebaker,Studebaker
74,subaru,Subaru
75,suzuki,Suzuki
76,tesla,Tesla
77,toyota,Toyota
78,volkswagen,Volkswagen
79,volvo,Volvo
