id,slug,model,idmake
1,cl,CL,1
2,integra,Integra,1
3,legend,Legend,1
4,mdx,MDX,1
5,nsx,NSX,1
6,rdx,RDX,1
7,rl,RL,1
8,rsx,RSX,1
9,slx,SLX,1
10,tl,TL,1
11,tsx,TSX,1
12,vigor,Vigor,1
13,zdx,ZDX,1
14,164,164,2
15,spider,Spider,2
16,2e,2e,3
17,typ-1,Typ-1,3
18,type-1h,Type-1h,3
19,db9,DB9,4
20,db9-volante,DB9 Volante,4
21,dbs,DBS,4
22,rapide,Rapide,4
23,v12-vantage,V12 Vantage,4
24,v8-vantage,V8 Vantage,4
25,v8-vantage-s,V8 Vantage S,4
26,vanquish-s,Vanquish S,4
27,vantage,Vantage,4
28,virage,Virage,4
29,100,100,5
30,200,200,5
31,4000,4000,5
32,4000cs-quattro,4000CS Quattro,5
33,4000s,4000s,5
34,4000s-quattro,4000s Quattro,5
35,5000cs,5000CS,5
36,5000cs-quattro,5000CS Quattro,5
37,5000s,5000S,5
38,80,80,5
39,8090,80/90,5
40,90,90,5
41,a3,A3,5
42,a4,A4,5
43,a5,A5,5
44,a6,A6,5
45,a7,A7,5
46,a8,A8,5
47,allroad,Allroad,5
48,cabriolet,Cabriolet,5
49,coupe-gt,Coupe GT,5
50,coupe-quattro,Coupe Quattro,5
51,q5,Q5,5
52,q7,Q7,5
53,quattro,Quattro,5
54,r8,R8,5
55,riolet,riolet,5
56,rs-4,RS 4,5
57,rs-6,RS 6,5
58,rs4,RS4,5
59,rs6,RS6,5
60,s4,S4,5
61,s5,S5,5
62,s6,S6,5
63,s8,S8,5
64,tt,TT,5
65,v8,V8,5
66,mini,Mini,6
67,mini-cooper,Mini Cooper,6
68,mini-cooper-s,Mini Cooper S,6
69,arnage,Arnage,7
70,azure,Azure,7
71,azure-t,Azure T,7
72,brooklands,Brooklands,7
73,continental,Continental,7
74,continental-flying-s,Continental Flying S,7
75,continental-gt,Continental GT,7
76,continental-gtc,Continental GTC,7
77,continental-super,Continental Super,7
78,mulsanne,Mulsanne,7
79,1-series,1 Series,8
80,3-series,3 Series,8
81,325,325,8
82,330,330,8
83,5-series,5 Series,8
84,525,525,8
85,530,530,8
86,545,545,8
87,550,550,8
88,6-series,6 Series,8
89,600,600,8
90,645,645,8
91,650,650,8
92,7-series,7 Series,8
93,745,745,8
94,750,750,8
95,760,760,8
96,8-series,8 Series,8
97,alpina-b7,Alpina B7,8
98,m,M,8
99,m-roadster,M Roadster,8
100,m3,M3,8
101,m5,M5,8
102,m6,M6,8
103,x3,X3,8
104,x5,X5,8
105,x5-m,X5 M,8
106,x6,X6,8
107,x6-m,X6 M,8
108,z3,Z3,8
109,z4,Z4,8
110,z4-m,Z4 M,8
111,z4-m-roadster,Z4 M Roadster,8
112,z8,Z8,8
113,veyron,Veyron,9
114,century,Century,10
115,coachbuilder,Coachbuilder,10
116,electra,Electra,10
117,enclave,Enclave,10
118,estate,Estate,10
119,hearse,Hearse,10
120,lacrosse,LaCrosse,10
121,lesabre,LeSabre,10
122,lucerne,Lucerne,10
123,park-avenue,Park Avenue,10
124,rainier,Rainier,10
125,reatta,Reatta,10
126,regal,Regal,10
127,rendezvous,Rendezvous,10
128,riviera,Riviera,10
129,roadmaster,Roadmaster,10
130,skyhawk,Skyhawk,10
131,skylark,Skylark,10
132,somerset,Somerset,10
133,special,Special,10
134,terraza,Terraza,10
135,verano,Verano,10
136,allante,Allante,11
137,brougham,Brougham,11
138,catera,Catera,11
139,cts,CTS,11
140,cts-v,CTS-V,11
141,deville,DeVille,11
142,dts,DTS,11
143,eldorado,Eldorado,11
144,escalade,Escalade,11
145,escalade-esv,Escalade ESV,11
146,escalade-ext,Escalade EXT,11
147,fleetwood,Fleetwood,11
148,seville,Seville,11
149,sixty-special,Sixty Special,11
150,srx,SRX,11
151,sts,STS,11
152,sts-v,STS-V,11
153,xlr,XLR,11
154,xlr-v,XLR-V,11
155,1500,1500,12
156,2500,2500,12
157,3500,3500,12
158,apv,APV,12
159,astro,Astro,12
160,avalanche,Avalanche,12
161,avalanche-1500,Avalanche 1500,12
162,avalanche-2500,Avalanche 2500,12
163,aveo,Aveo,12
164,bel-air,Bel Air,12
165,beretta,Beretta,12
166,blazer,Blazer,12
167,camaro,Camaro,12
168,caprice,Caprice,12
169,caprice-classic,Caprice Classic,12
170,cavalier,Cavalier,12
171,citation,Citation,12
172,classic,Classic,12
173,cobalt,Cobalt,12
174,cobalt-ss,Cobalt SS,12
175,colorado,Colorado,12
176,corsica,Corsica,12
177,corvair,Corvair,12
178,corvair-500,Corvair 500,12
179,corvette,Corvette,12
180,cruze,Cruze,12
181,equinox,Equinox,12
182,express,Express,12
183,express-1500,Express 1500,12
184,express-2500,Express 2500,12
185,express-3500,Express 3500,12
186,g-series-1500,G-Series 1500,12
187,g-series-2500,G-Series 2500,12
188,g-series-3500,G-Series 3500,12
189,g-series-g10,G-Series G10,12
190,g-series-g20,G-Series G20,12
191,g-series-g30,G-Series G30,12
192,hhr,HHR,12
193,hhr-panel,HHR Panel,12
194,impala,Impala,12
195,impala-ss,Impala SS,12
196,k5-blazer,K5 Blazer,12
197,lumina,Lumina,12
198,lumina-apv,Lumina APV,12
199,luv,LUV,12
200,malibu,Malibu,12
201,malibu-maxx,Malibu Maxx,12
202,metro,Metro,12
203,monte-carlo,Monte Carlo,12
204,monza,Monza,12
205,prizm,Prizm,12
206,s10,S10,12
207,s10-blazer,S10 Blazer,12
208,silverado,Silverado,12
209,silverado-1500,Silverado 1500,12
210,silverado-2500,Silverado 2500,12
211,silverado-3500,Silverado 3500,12
212,silverado-3500hd,Silverado 3500HD,12
213,silverado-hybrid,Silverado Hybrid,12
214,sonic,Sonic,12
215,sportvan-g10,Sportvan G10,12
216,sportvan-g20,Sportvan G20,12
217,sportvan-g30,Sportvan G30,12
218,ssr,SSR,12
219,suburban,Suburban,12
220,suburban-1500,Suburban 1500,12
221,suburban-2500,Suburban 2500,12
222,tahoe,Tahoe,12
223,tracker,Tracker,12
224,trailblazer,Trailblazer,12
225,traverse,Traverse,12
226,uplander,Uplander,12
227,vega,Vega,12
228,venture,Venture,12
229,volt,Volt,12
230,200,200,13
231,300,300,13
232,300c,300C,13
233,300m,300M,13
234,aspen,Aspen,13
235,cirrus,Cirrus,13
236,concorde,Concorde,13
237,crossfire,Crossfire,13
238,crossfire-roadster,Crossfire Roadster,13
239,fifth-ave,Fifth Ave,13
240,grand-voyager,Grand Voyager,13
241,imperial,Imperial,13
242,lebaron,LeBaron,13
243,lhs,LHS,13
244,new-yorker,New Yorker,13
245,pacifica,Pacifica,13
246,prowler,Prowler,13
247,pt-cruiser,PT Cruiser,13
248,sebring,Sebring,13
249,town-country,Town & Country,13
250,voyager,Voyager,13
251,2cv,2CV,14
252,cx,CX,14
253,sm,SM,14
254,sparrow,Sparrow,15
255,lanos,Lanos,16
256,leganza,Leganza,16
257,nubira,Nubira,16
258,charade,Charade,17
259,rocky,Rocky,17
260,aries,Aries,18
261,aspen,Aspen,18
262,avenger,Avenger,18
263,caliber,Caliber,18
264,caravan,Caravan,18
265,challenger,Challenger,18
266,charger,Charger,18
267,colt,Colt,18
268,d150,D150,18
269,d150-club,D150 Club,18
270,d250,D250,18
271,d250-club,D250 Club,18
272,d350,D350,18
273,d350-club,D350 Club,18
274,dakota,Dakota,18
275,dakota-club,Dakota Club,18
276,daytona,Daytona,18
277,durango,Durango,18
278,dynasty,Dynasty,18
279,grand-caravan,Grand Caravan,18
280,intrepid,Intrepid,18
281,journey,Journey,18
282,magnum,Magnum,18
283,monaco,Monaco,18
284,neon,Neon,18
285,nitro,Nitro,18
286,omni,Omni,18
287,ram,Ram,18
288,ram-1500,Ram 1500,18
289,ram-1500-club,Ram 1500 Club,18
290,ram-2500,Ram 2500,18
291,ram-2500-club,Ram 2500 Club,18
292,ram-3500,Ram 3500,18
293,ram-3500-club,Ram 3500 Club,18
294,ram-50,Ram 50,18
295,ram-van-1500,Ram Van 1500,18
296,ram-van-2500,Ram Van 2500,18
297,ram-van-3500,Ram Van 3500,18
298,ram-van-b150,Ram Van B150,18
299,ram-van-b250,Ram Van B250,18
300,ram-van-b350,Ram Van B350,18
301,ram-wagon-b150,Ram Wagon B150,18
302,ram-wagon-b250,Ram Wagon B250,18
303,ram-wagon-b350,Ram Wagon B350,18
304,ramcharger,Ramcharger,18
305,shadow,Shadow,18
306,spirit,Spirit,18
307,sprinter,Sprinter,18
308,stealth,Stealth,18
309,stratus,Stratus,18
310,viper,Viper,18
311,viper-rt10,Viper RT/10,18
312,premier,Premier,19
313,summit,Summit,19
314,talon,Talon,19
315,vision,Vision,19
316,rockette,Rockette,20
317,430-scuderia,430 Scuderia,21
318,458-italia,458 Italia,21
319,599-gtb-fiorano,599 GTB Fiorano,21
320,612-scaglietti,612 Scaglietti,21
321,california,California,21
322,f430,F430,21
323,f430-spider,F430 Spider,21
324,ff,FF,21
325,500,500,22
326,nuova-500,Nuova 500,22
327,fillmore,Fillmore,23
328,hemisfear,Hemisfear,24
329,aerostar,Aerostar,25
330,aspire,Aspire,25
331,bronco,Bronco,25
332,bronco-ii,Bronco II,25
333,c-max-hybrid,C-MAX Hybrid,25
334,club-wagon,Club Wagon,25
335,contour,Contour,25
336,country,Country,25
337,courier,Courier,25
338,crown-victoria,Crown Victoria,25
339,e-350-super-duty,E-350 Super Duty,25
340,e-350-super-duty-van,E-350 Super Duty Van,25
341,e-series,E-Series,25
342,e150,E150,25
343,e250,E250,25
344,e350,E350,25
345,econoline-e150,Econoline E150,25
346,econoline-e250,Econoline E250,25
347,econoline-e350,Econoline E350,25
348,edge,Edge,25
349,escape,Escape,25
350,escort,Escort,25
351,escort-zx2,Escort ZX2,25
352,excursion,Excursion,25
353,exp,EXP,25
354,expedition,Expedition,25
355,expedition-el,Expedition EL,25
356,explorer,Explorer,25
357,explorer-sport,Explorer Sport,25
358,explorer-sport-trac,Explorer Sport Trac,25
359,f-250-super-duty,F-250 Super Duty,25
360,f-350-super-duty,F-350 Super Duty,25
361,f-series,F-Series,25
362,f-series-super-duty,F-Series Super Duty,25
363,f150,F150,25
364,f250,F250,25
365,f350,F350,25
366,f450,F450,25
367,fairlane,Fairlane,25
368,falcon,Falcon,25
369,festiva,Festiva,25
370,fiesta,Fiesta,25
