id,year,idmodel
1,1997,1
2,1998,1
3,1999,1
4,2001,1
5,2002,1
6,2003,1
7,1988,2
8,1992,2
9,1993,2
10,1994,2
11,1995,2
12,1996,2
13,1997,2
14,1998,2
15,1999,2
16,2000,2
17,2001,2
18,1987,3
19,1988,3
20,1989,3
21,1990,3
22,1992,3
23,1993,3
24,1994,3
25,1995,3
26,2001,4
27,2002,4
28,2003,4
29,2004,4
30,2005,4
31,2006,4
32,2007,4
33,2008,4
34,2009,4
35,2010,4
36,2011,4
37,2012,4
38,1992,5
39,1993,5
40,1994,5
41,1995,5
42,1996,5
43,1997,5
44,1998,5
45,1999,5
46,2000,5
47,2001,5
48,2002,5
49,2003,5
50,2004,5
51,2005,5
52,2007,6
53,2008,6
54,2009,6
55,2010,6
56,2011,6
57,2012,6
58,1996,7
59,1997,7
60,1998,7
61,1999,7
62,2000,7
63,2001,7
64,2002,7
65,2003,7
66,2004,7
67,2005,7
68,2006,7
69,2007,7
70,2008,7
71,2009,7
72,2010,7
73,2011,7
74,2012,7
75,2002,8
76,2003,8
77,2004,8
78,2005,8
79,2006,8
80,1996,9
81,1997,9
82,1998,9
83,1999,9
84,1995,10
85,1996,10
86,1997,10
87,1998,10
88,1999,10
89,2000,10
90,2001,10
91,2002,10
92,2003,10
93,2004,10
94,2005,10
95,2006,10
96,2007,10
97,2008,10
98,2009,10
99,2010,10
100,2011,10
101,2012,10
102,2004,11
103,2005,11
104,2006,11
105,2007,11
106,2008,11
107,2009,11
108,2010,11
109,2011,11
110,2012,11
111,1992,12
112,1993,12
113,1994,12
114,2010,13
115,2011,13
116,2012,13
117,1992,14
118,1993,14
119,1994,14
120,1995,14
121,1992,15
122,1993,15
123,1994,15
124,2009,16
125,2008,17
126,2009,17
127,2010,18
128,2005,19
129,2006,19
130,2007,19
131,2008,19
132,2009,19
133,2010,19
134,2011,19
135,2012,19
136,2006,20
137,2008,21
138,2009,21
139,2010,21
140,2011,21
141,2012,21
142,2010,22
143,2011,22
144,2012,22
145,2011,23
146,2012,23
147,2006,24
148,2007,24
149,2008,24
150,2009,24
151,2010,24
152,2011,24
153,2012,24
154,2011,25
155,2012,25
156,2005,26
157,2006,26
158,2006,27
159,2007,27
160,2008,27
161,2009,27
162,2010,27
163,2011,27
164,2011,28
165,2012,28
166,1989,29
167,1990,29
168,1991,29
169,1992,29
170,1993,29
171,1994,29
172,1989,30
173,1990,30
174,1991,30
175,1987,31
176,1986,32
177,1987,32
178,1985,33
179,1986,33
180,1986,34
181,1987,35
182,1988,35
183,1986,36
184,1984,37
185,1985,37
186,1986,37
187,1987,37
188,1988,37
189,1989,38
190,1990,38
191,1991,38
192,1992,38
193,1988,39
194,1988,40
195,1989,40
196,1990,40
197,1991,40
198,1993,40
199,1994,40
200,1995,40
201,2006,41
202,2007,41
203,2008,41
204,2009,41
205,2010,41
206,2011,41
207,2012,41
208,1996,42
209,1997,42
210,1998,42
211,1999,42
212,2000,42
213,2001,42
214,2002,42
215,2003,42
216,2004,42
217,2005,42
218,2006,42
219,2007,42
220,2008,42
221,2009,42
222,2010,42
223,2011,42
224,2012,42
225,2008,43
226,2009,43
227,2010,43
228,2011,43
229,2012,43
230,1995,44
231,1996,44
232,1997,44
233,1998,44
234,1999,44
235,2000,44
236,2001,44
237,2002,44
238,2003,44
239,2004,44
240,2005,44
241,2006,44
242,2007,44
243,2008,44
244,2009,44
245,2010,44
246,2011,44
247,2012,44
248,2012,45
249,1997,46
250,1998,46
251,1999,46
252,2000,46
253,2001,46
254,2002,46
255,2003,46
256,2004,46
257,2005,46
258,2006,46
259,2007,46
260,2008,46
261,2009,46
262,2010,46
263,2011,46
264,2012,46
265,2001,47
266,2002,47
267,2003,47
268,2004,47
269,2005,47
270,1994,48
271,1995,48
272,1996,48
273,1997,48
274,1998,48
275,1985,49
276,1986,49
277,1987,49
278,1990,50
279,1991,50
280,2009,51
281,2010,51
282,2011,51
283,2012,51
284,2007,52
285,2008,52
286,2009,52
287,2010,52
288,2011,52
289,2012,52
290,1985,53
291,1992,53
292,1993,53
293,1994,53
294,2008,54
295,2009,54
296,2010,54
297,2011,54
298,2012,54
299,1994,55
300,1995,55
301,1996,55
302,1997,55
303,1998,55
304,2007,56
305,2008,56
306,2003,57
307,2007,58
308,2008,58
309,2003,59
310,1992,60
311,1993,60
312,1994,60
313,2000,60
314,2001,60
315,2002,60
316,2004,60
317,2005,60
318,2006,60
319,2007,60
320,2008,60
321,2009,60
322,2010,60
323,2011,60
324,2012,60
325,2013,60
326,2008,61
327,2009,61
328,2010,61
329,2011,61
330,2012,61
331,1995,62
332,2002,62
333,2003,62
334,2007,62
335,2008,62
336,2009,62
337,2010,62
338,2011,62
339,2001,63
340,2002,63
341,2003,63
342,2006,63
343,2007,63
344,2008,63
345,2009,63
346,2000,64
347,2001,64
348,2002,64
349,2003,64
350,2004,64
351,2005,64
352,2006,64
353,2008,64
354,2009,64
355,2010,64
356,2011,64
357,2012,64
358,1990,65
359,1991,65
360,1992,65
361,1994,65
362,1959,66
363,1963,66
364,1961,67
365,1964,67
366,1963,68
367,2005,69
368,2006,69
369,2007,69
370,2008,69
371,2009,69
372,2006,70
373,2007,70
374,2008,70
375,2009,70
376,2010,70
377,2010,71
378,2009,72
379,2010,72
380,2005,73
381,2006,73
382,2007,73
383,2008,73
384,2009,73
385,2010,73
386,2011,73
387,2012,73
388,2006,74
389,2007,74
390,2008,74
391,2009,74
392,2010,74
393,2011,74
394,2012,74
395,2006,75
396,2007,75
397,2008,75
398,2009,75
399,2010,75
400,2012,75
401,2007,76
402,2008,76
403,2009,76
404,2010,76
405,2011,76
406,2012,76
407,2010,77
408,2011,77
409,2012,77
410,2011,78
411,2012,78
412,2008,79
413,2009,79
414,2010,79
415,2011,79
416,2012,79
417,1992,80
418,1993,80
419,1994,80
420,1995,80
421,1996,80
422,1997,80
423,1998,80
424,1999,80
425,2000,80
426,2001,80
427,2002,80
428,2003,80
429,2004,80
430,2005,80
431,2006,80
432,2007,80
433,2008,80
434,2009,80
435,2010,80
436,2011,80
437,2012,80
438,2004,81
439,2005,81
440,2006,81
441,2005,82
442,2006,82
443,1992,83
444,1993,83
445,1994,83
446,1995,83
447,1997,83
448,1998,83
449,1999,83
450,2000,83
451,2001,83
452,2002,83
453,2003,83
454,2004,83
455,2005,83
456,2006,83
457,2007,83
458,2008,83
459,2009,83
460,2010,83
461,2011,83
462,2012,83
463,2001,84
464,2002,84
465,2003,84
466,2004,84
467,2005,84
468,2006,84
469,2001,85
470,2002,85
471,2003,85
472,2004,85
473,2005,85
474,2006,85
475,2007,85
476,2004,86
477,2005,86
478,2006,87
479,1989,88
480,2004,88
481,2005,88
482,2006,88
483,2007,88
484,2008,88
485,2009,88
486,2010,88
487,2012,88
488,1957,89
489,1958,89
490,1959,89
491,2004,90
492,2005,90
493,2006,91
494,1992,92
495,1993,92
496,1994,92
497,1995,92
498,1996,92
499,1997,92
500,1998,92
501,1999,92
502,2000,92
503,2001,92
504,2002,92
505,2003,92
506,2004,92
507,2005,92
508,2006,92
509,2007,92
510,2008,92
511,2009,92
512,2010,92
513,2011,92
514,2012,92
515,2002,93
516,2003,93
517,2004,93
518,2005,93
519,2006,94
520,2003,95
521,2004,95
522,2005,95
523,2006,95
524,1992,96
525,1993,96
526,1994,96
527,1995,96
528,1996,96
529,1997,96
530,2007,97
531,2008,97
532,2000,98
533,2001,98
534,2002,98
535,2006,99
536,2007,99
537,2008,99
538,1995,100
539,1996,100
540,1997,100
541,1998,100
542,1999,100
543,2001,100
544,2002,100
545,2003,100
546,2004,100
547,2005,100
548,2006,100
549,2008,100
550,2009,100
551,2010,100
552,2011,100
553,2012,100
554,1992,101
555,1993,101
556,2000,101
557,2001,101
558,2002,101
559,2003,101
560,2006,101
561,2007,101
562,2008,101
563,2009,101
564,2010,101
565,2006,102
566,2007,102
567,2008,102
568,2009,102
569,2010,102
570,2004,103
571,2005,103
572,2006,103
573,2007,103
574,2008,103
575,2009,103
576,2010,103
577,2011,103
578,2012,103
579,2000,104
580,2001,104
581,2002,104
582,2003,104
583,2004,104
584,2005,104
585,2006,104
586,2007,104
587,2008,104
588,2009,104
589,2010,104
590,2011,104
591,2012,104
592,2013,104
593,2010,105
594,2011,105
595,2012,105
596,2013,105
597,2008,106
598,2009,106
599,2010,106
600,2011,106
601,2012,106
602,2013,106
603,2010,107
604,2011,107
605,2012,107
606,2013,107
607,1996,108
608,1997,108
609,1998,108
610,1999,108
611,2000,108
612,2001,108
613,2002,108
614,2003,109
615,2004,109
616,2005,109
617,2006,109
618,2008,109
619,2009,109
620,2010,109
621,2011,109
622,2012,109
623,2006,110
624,2007,110
625,2008,110
626,2009,110
627,2009,111
628,2000,112
629,2001,112
630,2002,112
631,2003,112
632,2009,113
633,2011,113
634,1984,114
635,1985,114
636,1986,114
637,1987,114
638,1988,114
639,1989,114
640,1990,114
641,1991,114
642,1992,114
643,1993,114
644,1994,114
645,1995,114
646,1996,114
647,1997,114
648,1998,114
649,1999,114
650,2000,114
651,2001,114
652,2002,114
653,2003,114
654,2004,114
655,2005,114
656,1990,115
657,1991,115
658,1992,115
659,1993,115
660,1994,115
661,1995,115
662,1984,116
663,1985,116
664,1986,116
665,1987,116
666,1988,116
667,1989,116
668,1990,116
669,2008,117
670,2009,117
671,2010,117
672,2011,117
673,2012,117
674,1989,118
675,1990,118
676,1996,119
677,2005,120
678,2006,120
679,2007,120
680,2008,120
681,2009,120
682,2010,120
683,2011,120
684,2012,120
685,1985,121
686,1986,121
687,1987,121
688,1988,121
689,1989,121
690,1990,121
691,1991,121
692,1992,121
693,1993,121
694,1994,121
695,1995,121
696,1996,121
697,1997,121
698,1998,121
699,1999,121
700,2000,121
701,2001,121
702,2002,121
703,2003,121
704,2004,121
705,2005,121
706,2006,122
707,2007,122
708,2008,122
709,2009,122
710,2010,122
711,2011,122
712,1991,123
713,1992,123
714,1993,123
715,1994,123
716,1995,123
717,1996,123
718,1997,123
719,1998,123
720,1999,123
721,2000,123
722,2001,123
723,2002,123
724,2003,123
725,2004,123
726,2005,123
727,2004,124
728,2005,124
729,2006,124
730,2007,124
731,1988,125
732,1989,125
733,1990,125
734,1991,125
735,1985,126
736,1986,126
737,1987,126
738,1988,126
739,1989,126
740,1990,126
741,1991,126
742,1992,126
743,1993,126
744,1994,126
745,1995,126
746,1996,126
747,1997,126
748,1998,126
749,1999,126
750,2000,126
751,2001,126
752,2002,126
753,2003,126
754,2004,126
755,2011,126
756,2012,126
757,2002,127
758,2003,127
759,2004,127
760,2005,127
761,2006,127
762,2007,127
763,1979,128
764,1985,128
765,1986,128
766,1987,128
767,1988,128
768,1989,128
769,1990,128
770,1991,128
771,1992,128
772,1993,128
773,1995,128
774,1996,128
775,1997,128
776,1998,128
777,1999,128
778,1991,129
779,1992,129
780,1993,129
781,1994,129
782,1995,129
783,1996,129
784,1984,130
785,1985,130
786,1986,130
787,1987,130
788,1988,130
789,1989,130
790,1985,131
791,1986,131
792,1987,131
793,1988,131
794,1989,131
795,1990,131
796,1991,131
797,1992,131
798,1993,131
799,1994,131
800,1995,131
801,1996,131
802,1997,131
803,1998,131
804,1985,132
805,1986,132
806,1987,132
807,1962,133
808,2005,134
809,2006,134
810,2007,134
811,2012,135
812,1992,136
813,1993,136
814,1992,137
815,1997,138
816,1998,138
817,1999,138
818,2000,138
819,2001,138
820,2003,139
821,2004,139
822,2005,139
823,2006,139
824,2007,139
825,2008,139
826,2009,139
827,2010,139
828,2011,139
829,2012,139
830,2006,140
831,2007,140
832,2009,140
833,2010,140
834,2011,140
835,2012,140
836,1992,141
837,1993,141
838,1994,141
839,1995,141
840,1996,141
841,1997,141
842,1998,141
843,1999,141
844,2000,141
845,2001,141
846,2002,141
847,2003,141
848,2004,141
